series,adf_level,p_level,adf_first_difference,p_first_difference,integration_order
Ener_1,-1.8668910874409326,0.3477932313370542,-5.018335408147141,2.0411620518832872e-05,1
Ener_2,-1.4791345922855954,0.5438067534438131,-18.107408700202832,2.54323915851961e-30,1
Ener_3,-1.928441249107635,0.31880198164292306,-5.071523294040793,1.5990077614593573e-05,1
Ener_4,-8474418862.586832,0.0,-1590440.236373933,0.0,0
Ener_5,-0.3477076508920695,0.9184704540337368,-43.656308149680164,0.0,1
Ener_6,0.9526991309241424,0.9937409285971261,-30.63551184083648,0.0,1
Ener_7,-0.42444506290145323,0.9059366267722587,-14.768127582241174,2.3452204133320185e-27,1
Ener_8,-46.036343080966404,0.0,-14.797427402162574,2.1249528414826473e-27,0
Ener_9,-45.3581926689501,0.0,-15.519897631031846,2.290715458847423e-28,0
Ener_10,-43.71510671599407,0.0,-17.184778720023942,6.61104221093277e-30,0
