order,cutoff_cycles_per_record,reconstruction_rmse,attenuation_at_2x_cutoff_db,step_overshoot_pct
2,0.01,0.8226132832282765,-12.320646406212648,4.327912861219918
4,0.01,0.8454324903421708,-24.13352822561967,10.83910143492468
6,0.01,0.8912144873036068,-36.17614221600484,14.258565692151759
